head	rel	tail	score
TCMsymptom::Ji Rou Hong Zhong Re Tong	Syndrome::Symptom	Disease::MESH:D057770	-0.435548663
TCMsymptom::Lin Li Teng Tong	Syndrome::Symptom	Disease::MESH:D057770	-0.234241217
TCMsymptom::Shu Xie Fa Re	Syndrome::Symptom	Disease::MESH:D057770	-0.21528846
TCMsymptom::Tou Shen Kun Zhong	Symptom::Disease	Disease::MESH:D057770	-0.105647698
TCMsymptom::Zheng Jia Pi Kuai	Syndrome::Symptom	Disease::MESH:D057770	-0.213607132
TCMsymptom::Zu Jing Hong Zhong Re Tong	Syndrome::Symptom	Disease::MESH:D057770	-0.256276459
TCMsymptom::Huang Shui Lin Li	Syndrome::Symptom	Disease::MESH:D057770	-0.466620356
TCMsymptom::Guan Xie Zhang Tong	Syndrome::Symptom	Disease::MESH:D057770	-0.057504781
TCMsymptom::Bian Gan	Syndrome::Symptom	Disease::MESH:D057770	-0.562002838
TCMsymptom::Da Bian Gan	Syndrome::Symptom	Disease::MESH:D057770	-0.372245103
TCMsymptom::Chao Re	Symptom::Disease	Disease::MESH:D057770	-0.173067153
TCMsymptom::Yong Ju Nong Cheng Bu Kui	Syndrome::Symptom	Disease::MESH:D057770	-0.360894531
TCMsymptom::Feng Zhen Sao Yang	Syndrome::Symptom	Disease::MESH:D057770	-0.304582745
TCMsymptom::Xin Qi Tong	Symptom::Disease	Disease::MESH:D056807	-0.081556767
TCMsymptom::Shen Kun Zhong	Symptom::Disease	Disease::MESH:D056807	-0.291529775
TCMsymptom::Xiong Ge Pi Men	Symptom::Disease	Disease::MESH:D056807	-0.214195147
TCMsymptom::Xiong Xie Pi Men	Symptom::Disease	Disease::MESH:D056807	-0.321299255
TCMsymptom::Fu Rou Bu Qu	Symptom::Disease	Disease::MESH:D056807	-0.164512634
TCMsymptom::Da Bian Zao Jie	Syndrome::Symptom	Disease::MESH:D056693	-0.138156638
TCMsymptom::Re Lin Zheng	Syndrome::Symptom	Disease::MESH:D056693	-0.294687659
TCMsymptom::Da Bian Nong Xie	Syndrome::Symptom	Disease::MESH:D056587	-0.258665323
TCMsymptom::She Jian Hong	Syndrome::Symptom	Disease::MESH:D056587	-0.056224462
TCMsymptom::She Mi Lan	Syndrome::Symptom	Disease::MESH:D056587	-0.083074041
TCMsymptom::She Pian Hong	Syndrome::Symptom	Disease::MESH:D056587	-0.183808386
TCMsymptom::She Sheng Chuang	Syndrome::Symptom	Disease::MESH:D056587	-0.111644596
TCMsymptom::Xiao Bian Chi Se	Syndrome::Symptom	Disease::MESH:D056587	-0.125197753
TCMsymptom::Xie Re Tu Niu	Syndrome::Symptom	Disease::MESH:D056587	-0.154330954
TCMsymptom::Ye Liang	Syndrome::Symptom	Disease::MESH:D056587	-0.047810331
TCMsymptom::Fu Ren Zang Zao	Syndrome::Symptom	Disease::MESH:D056587	-0.107810244
TCMsymptom::Bian Huang Er Nian	Syndrome::Symptom	Disease::MESH:D056587	-0.311080933
TCMsymptom::Bu Xi Re Yin	Syndrome::Symptom	Disease::MESH:D056587	-0.142694518
TCMsymptom::Gan Qu Zhang Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.042300433
TCMsymptom::Ji Rou Hong Zhong Re Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.271007359
TCMsymptom::Jing Shui Lin Li Bu Jing	Syndrome::Symptom	Disease::MESH:D056587	-0.075553708
TCMsymptom::Liang Xie Zhang Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.162648797
TCMsymptom::Lin Li Teng Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.131534174
TCMsymptom::Lin Zhuo	Syndrome::Symptom	Disease::MESH:D056587	-0.046649911
TCMsymptom::Mao Fa You Ni	Syndrome::Symptom	Disease::MESH:D056587	-0.326093197
TCMsymptom::Mian Mu Xi Huang	Syndrome::Symptom	Disease::MESH:D056587	-0.061751567
TCMsymptom::Niao Huang	Syndrome::Symptom	Disease::MESH:D056587	-0.232536957
TCMsymptom::Niao Se Chi Huang	Syndrome::Symptom	Disease::MESH:D056587	-0.089803368
TCMsymptom::Nong Tan	Syndrome::Symptom	Disease::MESH:D056587	-0.195307106
TCMsymptom::Pi Fu Shi Zhen	Syndrome::Symptom	Disease::MESH:D056587	-0.173654214
TCMsymptom::Re Du Xie Li	Syndrome::Symptom	Disease::MESH:D056587	-0.248585418
TCMsymptom::Shi Re Du Xie Ju Jie Ji Fu	Syndrome::Symptom	Disease::MESH:D056587	-0.31934762
TCMsymptom::Shi Re Xia Zhu	Syndrome::Symptom	Disease::MESH:D056587	-0.22040768
TCMsymptom::Shi Lin Se Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.163698345
TCMsymptom::Shu Xie Fa Re	Syndrome::Symptom	Disease::MESH:D056587	-0.233631119
TCMsymptom::Sou Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.145871013
TCMsymptom::Ting Shuai	Syndrome::Symptom	Disease::MESH:D056587	-0.311112553
TCMsymptom::Guan Pi	Syndrome::Symptom	Disease::MESH:D056587	-0.293268502
TCMsymptom::Xia Fu Zhang Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.553798318
TCMsymptom::Xiao Bian Huang Shao	Syndrome::Symptom	Disease::MESH:D056587	-0.119392723
TCMsymptom::Xie Xia Pi Kuai	Syndrome::Symptom	Disease::MESH:D056587	-0.140653104
TCMsymptom::Xie Xie Ji Po	Syndrome::Symptom	Disease::MESH:D056587	-0.424489588
TCMsymptom::Xiong Bu Men Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.326326162
TCMsymptom::Xiong Pi	Syndrome::Symptom	Disease::MESH:D056587	-0.384983897
TCMsymptom::Xiong Guan Zhang Man	Syndrome::Symptom	Disease::MESH:D056587	-0.319455922
TCMsymptom::Xiong Zhang Man	Syndrome::Symptom	Disease::MESH:D056587	-0.236245304
TCMsymptom::Xiong Zhong Man Men	Syndrome::Symptom	Disease::MESH:D056587	-0.16418758
TCMsymptom::Xiong Zhong Men Re	Syndrome::Symptom	Disease::MESH:D056587	-0.075137727
TCMsymptom::Yue Jing Liang Duo    Wei Chou	Syndrome::Symptom	Disease::MESH:D056587	-0.181664094
TCMsymptom::Zhuo Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.015168219
